step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-99.66,0.0000,-592.5306,459.85,459.85,459.85,1.003095,0.092394,0.000000,1.9981,1.0664,3.0
2,0.00,-91.46,0.0000,-628.9346,378.87,378.87,378.87,1.008700,0.065907,0.000000,1.9962,1.0642,5.8
3,0.00,-102.33,0.0000,-683.0251,507.54,507.54,378.87,0.971525,0.061268,0.000000,1.9943,1.0644,8.3
4,0.00,-96.42,0.0000,-659.2891,506.24,482.39,378.87,0.997450,0.048326,0.000000,1.9924,1.0643,11.1
5,0.00,-99.92,0.0000,-702.9562,400.53,400.53,378.87,1.003007,0.059203,0.000000,1.9905,1.0632,13.9
6,0.00,-94.96,0.0000,-645.4689,465.42,465.42,378.87,1.002674,0.058320,0.000000,1.9886,1.0619,16.6
7,0.00,-90.06,0.0000,-673.5099,391.54,391.54,378.87,1.004963,0.064274,0.000000,1.9867,1.0620,19.3
8,0.00,-92.72,0.0000,-715.3431,466.89,396.47,378.87,1.008957,0.065269,0.000000,1.9848,1.0627,22.0
9,0.00,-94.21,0.0000,-676.5896,596.99,429.26,378.87,1.008444,0.057159,0.000000,1.9829,1.0639,24.8
10,0.00,-92.32,0.0000,-633.0477,448.74,448.74,378.87,0.999256,0.045048,0.000000,1.9810,1.0640,27.6
11,0.00,-94.28,0.0000,-640.1015,461.99,461.99,378.87,0.995936,0.048346,0.000000,1.9791,1.0619,30.3
12,0.00,-90.80,0.0000,-629.3041,343.56,343.56,343.56,1.009388,0.054886,0.000000,1.9772,1.0592,32.9
13,0.00,-87.52,0.0000,-669.1118,316.12,316.12,316.12,1.009982,0.055635,0.000000,1.9753,1.0566,35.7
14,0.00,-90.41,0.0000,-646.6403,426.26,426.26,316.12,0.998952,0.057236,0.000000,1.9734,1.0545,38.6
15,0.00,-93.14,0.0000,-680.4104,464.05,420.72,316.12,0.986106,0.059355,0.000000,1.9715,1.0516,41.4
16,0.00,-88.17,0.0000,-625.1925,406.12,406.12,316.12,0.998168,0.049788,0.000000,1.9696,1.0482,44.2
17,0.00,-88.67,0.0000,-610.3942,420.65,415.95,316.12,0.999632,0.051005,0.000000,1.9677,1.0456,47.0
18,0.00,-87.61,0.0000,-593.5742,413.85,413.85,316.12,0.990856,0.058916,0.000000,1.9658,1.0431,49.8
19,0.00,-88.19,0.0000,-596.1644,485.81,460.56,316.12,0.988804,0.045422,0.000000,1.9639,1.0400,52.6
20,0.00,-87.47,0.0000,-623.4980,515.49,495.99,316.12,1.004368,0.042982,0.000000,1.9620,1.0386,55.4
21,0.00,-82.85,0.0000,-569.5364,529.09,465.60,316.12,0.999076,0.038082,0.000000,1.9601,1.0384,58.1
22,0.00,-81.60,0.0000,-590.7623,479.53,462.38,316.12,1.011863,0.054354,0.000000,1.9582,1.0381,60.8
23,0.00,-87.04,0.0000,-596.1858,398.00,398.00,316.12,0.984881,0.052535,0.000000,1.9563,1.0372,63.5
24,0.00,-86.98,0.0000,-663.8820,518.02,462.94,316.12,0.995836,0.049349,0.000000,1.9544,1.0354,66.3
25,0.00,-82.49,0.0000,-644.1497,409.58,409.58,316.12,1.000861,0.060028,0.000000,1.9525,1.0322,69.1
26,0.00,-79.86,0.0000,-647.4542,377.21,377.21,316.12,0.995044,0.055122,0.000000,1.9506,1.0289,71.9
27,0.00,-81.88,0.0000,-572.6976,395.20,393.13,316.12,1.001724,0.046268,0.000000,1.9487,1.0244,74.6
28,0.00,-71.95,0.0000,-594.7271,449.95,396.14,316.12,1.023580,0.041221,0.000000,1.9468,1.0210,77.4
29,0.00,-83.51,0.0000,-550.5416,480.10,420.15,316.12,0.997797,0.049646,0.000000,1.9449,1.0185,80.2
30,0.00,-79.30,0.0000,-568.2767,257.03,257.03,257.03,0.995350,0.059470,0.000000,1.9430,1.0159,83.1
31,0.00,-82.06,0.0000,-566.9484,361.53,361.53,257.03,0.989192,0.062325,0.031250,1.9411,1.0133,85.5
32,0.00,-79.39,0.0000,-627.1111,397.23,397.23,257.03,0.995050,0.051937,0.000000,1.9392,1.0113,88.3
33,0.00,-73.26,0.0000,-594.8177,425.36,392.74,257.03,1.000012,0.042580,0.000000,1.9373,1.0106,91.0
34,0.00,-72.99,0.0000,-568.1291,420.67,403.34,257.03,1.004276,0.050614,0.000000,1.9354,1.0082,93.8
35,0.00,-77.35,0.0000,-590.2969,324.91,324.91,257.03,1.002764,0.047851,0.000000,1.9335,1.0050,96.6
36,0.00,-74.75,0.0000,-555.0405,434.40,403.08,257.03,1.005799,0.049853,0.000000,1.9316,1.0031,99.4
37,0.00,-68.83,0.0000,-531.6091,332.53,332.53,257.03,1.015774,0.046649,0.000000,1.9297,1.0021,102.2
38,0.00,-72.13,0.0000,-553.1007,352.31,352.31,257.03,0.999327,0.056310,0.000000,1.9278,1.0009,105.0
39,0.00,-71.24,0.0000,-546.5320,348.58,301.45,257.03,1.011164,0.064800,0.000000,1.9259,0.9987,107.8
40,0.00,-73.41,0.0000,-561.7153,370.17,370.17,257.03,0.999914,0.061645,0.000000,1.9240,0.9958,110.2
41,0.00,-69.92,0.0000,-510.8444,242.36,242.36,242.36,1.000808,0.065313,0.000000,1.9221,0.9930,113.0
42,0.00,-69.69,0.0000,-507.6797,442.36,375.43,242.36,1.002559,0.059957,0.000000,1.9202,0.9899,115.8
43,0.00,-66.49,0.0000,-523.7328,352.91,335.01,242.36,1.008862,0.047252,0.000000,1.9183,0.9873,118.6
44,0.00,-69.36,0.0000,-573.1823,394.89,384.07,242.36,1.003035,0.049791,0.000000,1.9164,0.9849,121.4
45,0.00,-69.55,0.0000,-522.0364,321.45,321.45,242.36,0.998739,0.054562,0.000000,1.9145,0.9819,124.1
46,0.00,-66.41,0.0000,-471.8810,320.80,320.80,242.36,1.004740,0.054812,0.000000,1.9126,0.9786,126.9
47,0.00,-72.91,0.0000,-542.6862,340.63,336.28,242.36,0.990367,0.074014,0.000000,1.9107,0.9743,129.7
48,0.00,-66.73,0.0000,-570.5756,217.61,217.61,217.61,0.989463,0.050562,0.000000,1.9088,0.9706,132.5
49,0.00,-65.94,0.0000,-500.2436,316.14,316.14,217.61,0.998102,0.058092,0.000000,1.9069,0.9688,135.0
50,0.00,-69.30,0.0000,-524.6531,354.41,313.40,217.61,0.999278,0.047451,0.000000,1.9050,0.9658,137.8
51,0.00,-65.57,0.0000,-547.0669,359.90,357.45,217.61,0.989285,0.049284,0.000000,1.9031,0.9621,140.5
52,0.00,-62.59,0.0000,-536.3625,245.29,245.29,217.61,1.000478,0.048866,0.000000,1.9012,0.9586,143.3
53,0.00,-64.94,0.0000,-483.8221,258.32,258.32,217.61,0.998308,0.053450,0.000000,1.8993,0.9550,146.1
54,0.00,-56.72,0.0000,-478.5514,181.17,181.17,181.17,1.030522,0.055904,0.000000,1.8974,0.9513,148.9
55,0.00,-61.67,0.0000,-559.8508,287.94,287.94,181.17,0.997725,0.061902,0.000000,1.8955,0.9481,151.8
56,0.00,-59.95,0.0000,-502.9950,390.52,298.90,181.17,0.997153,0.058243,0.000000,1.8936,0.9450,154.5
