step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.03,0.0000,-592.5306,542.43,463.91,463.91,1.011592,0.100054,0.031250,1.9981,1.0682,3.0
2,0.00,0.05,0.0000,-629.4470,373.03,373.03,373.03,1.000403,0.063985,0.000000,1.9962,1.0678,6.0
3,0.00,-0.00,0.0000,-686.5807,583.70,517.17,373.03,0.970990,0.059585,0.000000,1.9943,1.0688,8.9
4,0.00,0.01,0.0000,-663.4047,290.19,290.19,290.19,0.991724,0.047218,0.000000,1.9924,1.0697,11.7
5,0.00,0.03,0.0000,-709.5564,409.73,409.73,290.19,1.009856,0.061028,0.000000,1.9905,1.0705,14.6
6,0.00,0.04,0.0000,-654.6383,363.85,363.85,290.19,1.010083,0.057357,0.000000,1.9886,1.0720,17.5
7,0.00,0.06,0.0000,-679.3997,389.30,389.30,290.19,1.006466,0.062070,0.000000,1.9867,1.0732,20.4
8,0.00,0.04,0.0000,-728.6882,420.91,420.91,290.19,1.005974,0.059419,0.000000,1.9848,1.0745,23.1
9,0.00,0.04,0.0000,-686.4764,473.78,473.78,290.19,1.001643,0.053520,0.000000,1.9829,1.0762,26.0
10,0.00,0.05,0.0000,-642.1584,349.70,349.70,290.19,0.993321,0.042362,0.000000,1.9810,1.0774,28.8
11,0.00,0.04,0.0000,-648.7350,265.18,265.18,265.18,0.995528,0.046023,0.000000,1.9791,1.0768,31.7
12,0.00,0.08,0.0000,-642.8911,360.85,360.85,265.18,1.004748,0.055764,0.000000,1.9772,1.0769,34.6
13,0.00,0.11,0.0000,-682.4785,272.67,272.67,265.18,1.011392,0.054356,0.000000,1.9753,1.0768,37.4
14,0.00,0.05,0.0000,-667.9006,545.87,367.36,265.18,1.003761,0.050170,0.000000,1.9734,1.0771,40.4
15,0.00,0.05,0.0000,-701.6455,312.95,312.95,265.18,0.996165,0.064986,0.000000,1.9715,1.0781,43.3
16,0.00,0.07,0.0000,-645.7236,294.51,294.51,265.18,0.993735,0.039308,0.000000,1.9696,1.0787,46.0
17,0.00,0.07,0.0000,-643.7125,329.33,329.33,265.18,0.997119,0.050470,0.000000,1.9677,1.0797,48.8
18,0.00,0.07,0.0000,-623.3373,300.84,300.84,265.18,0.991507,0.053133,0.000000,1.9658,1.0805,51.7
19,0.00,0.07,0.0000,-629.3755,355.31,355.31,265.18,0.991676,0.039260,0.000000,1.9639,1.0808,54.5
20,0.00,0.08,0.0000,-660.0513,258.49,258.49,258.49,0.998286,0.039380,0.000000,1.9620,1.0811,57.4
21,0.00,0.09,0.0000,-598.9300,427.28,402.38,258.49,0.998691,0.043085,0.000000,1.9601,1.0818,60.2
22,0.00,0.17,0.0000,-636.3391,369.87,275.71,258.49,1.013866,0.052663,0.000000,1.9582,1.0824,63.1
23,0.00,0.07,0.0000,-638.3326,511.02,441.21,258.49,0.980445,0.053173,0.000000,1.9563,1.0827,66.0
24,0.00,0.08,0.0000,-708.1744,398.95,398.95,258.49,0.998865,0.036232,0.000000,1.9544,1.0818,68.8
25,0.00,0.13,0.0000,-685.8446,281.88,281.88,258.49,1.002921,0.051135,0.000000,1.9525,1.0808,71.5
26,0.00,0.17,0.0000,-689.7407,357.21,346.20,258.49,0.994117,0.057416,0.000000,1.9506,1.0800,74.3
27,0.00,0.12,0.0000,-618.2668,282.45,282.45,258.49,1.000997,0.036920,0.000000,1.9487,1.0783,77.2
28,0.00,0.22,0.0000,-639.6252,228.29,228.29,228.29,1.015442,0.040997,0.000000,1.9468,1.0762,80.0
29,0.00,0.08,0.0000,-596.6754,278.57,263.62,228.29,0.988146,0.051760,0.000000,1.9449,1.0749,82.9
30,0.00,0.15,0.0000,-613.8092,197.92,197.92,197.92,1.001925,0.049730,0.000000,1.9430,1.0738,85.8
31,0.00,0.13,0.0000,-618.5244,250.62,250.62,197.92,0.991908,0.046184,0.000000,1.9411,1.0727,88.7
32,0.00,0.15,0.0000,-682.2911,219.89,219.89,197.92,0.991327,0.059257,0.000000,1.9392,1.0722,91.6
33,0.00,0.25,0.0000,-662.0865,259.40,259.40,197.92,1.000357,0.034504,0.000000,1.9373,1.0724,94.4
34,0.00,0.21,0.0000,-626.6473,222.29,222.29,197.92,1.010078,0.033887,0.000000,1.9354,1.0720,97.0
35,0.00,0.19,0.0000,-665.1879,324.85,306.23,197.92,1.003996,0.042974,0.000000,1.9335,1.0709,99.9
36,0.00,0.16,0.0000,-606.5999,413.75,353.75,197.92,1.001616,0.035539,0.000000,1.9316,1.0710,102.9
37,0.00,0.21,0.0000,-572.7000,173.17,173.17,173.17,1.006311,0.040911,0.000000,1.9297,1.0719,105.7
38,0.00,0.24,0.0000,-611.9606,213.36,213.36,173.17,0.995287,0.051954,0.000000,1.9278,1.0718,108.7
39,0.00,0.27,0.0000,-601.4240,315.43,179.51,173.17,1.009855,0.048221,0.000000,1.9259,1.0709,111.4
40,0.00,0.18,0.0000,-627.1899,360.96,285.92,173.17,0.997575,0.052283,0.000000,1.9240,1.0694,114.3
41,0.00,0.25,0.0000,-573.1758,200.86,185.94,173.17,1.000026,0.059021,0.000000,1.9221,1.0676,117.2
42,0.00,0.21,0.0000,-556.1461,267.01,267.01,173.17,0.999398,0.055592,0.000000,1.9202,1.0651,120.0
43,0.00,0.32,0.0000,-597.1722,233.00,233.00,173.17,1.015513,0.049504,0.000000,1.9183,1.0636,122.6
44,0.00,0.30,0.0000,-645.8315,211.67,211.67,173.17,1.006612,0.041762,0.000000,1.9164,1.0623,125.6
45,0.00,0.26,0.0000,-587.8094,236.44,236.44,173.17,1.004984,0.047832,0.000000,1.9145,1.0605,128.3
46,0.00,0.29,0.0000,-520.4157,241.24,241.24,173.17,1.005241,0.054981,0.000000,1.9126,1.0585,131.2
47,0.00,0.25,0.0000,-629.2689,172.38,172.38,172.38,0.997352,0.064271,0.000000,1.9107,1.0557,134.0
48,0.00,0.27,0.0000,-622.3599,177.87,177.87,172.38,0.988605,0.046645,0.000000,1.9088,1.0528,136.9
49,0.00,0.27,0.0000,-581.9492,232.38,223.36,172.38,0.999987,0.062355,0.000000,1.9069,1.0516,139.7
50,0.00,0.29,0.0000,-602.5430,145.08,145.08,145.08,1.010500,0.061299,0.000000,1.9050,1.0496,142.7
51,0.00,0.26,0.0000,-591.8267,250.67,250.67,145.08,0.987881,0.049708,0.000000,1.9031,1.0477,145.5
52,0.00,0.34,0.0000,-598.7484,153.71,153.71,145.08,0.996641,0.057812,0.000000,1.9012,1.0459,148.2
53,0.00,0.33,0.0000,-561.8463,175.60,140.31,140.31,1.000787,0.039009,0.000000,1.8993,1.0434,151.0
54,0.00,0.44,0.0000,-530.1912,118.56,118.56,118.56,1.019448,0.049890,0.000000,1.8974,1.0405,154.0
55,0.00,0.35,0.0000,-644.2812,237.53,225.89,118.56,1.007936,0.059999,0.000000,1.8955,1.0383,156.8
56,0.00,0.36,0.0000,-565.9619,238.37,174.43,118.56,1.002383,0.046493,0.000000,1.8936,1.0368,159.7
57,0.00,0.45,0.0000,-509.3008,216.69,216.69,118.56,1.008109,0.061397,0.000000,1.8917,1.0359,162.6
58,0.00,0.38,0.0000,-532.6760,122.87,122.87,118.56,1.006614,0.063463,0.000000,1.8898,1.0360,165.5
59,0.00,0.41,0.0000,-643.7171,172.67,172.67,118.56,0.994347,0.046782,0.000000,1.8879,1.0362,168.3
60,0.00,0.36,0.0000,-521.3094,177.24,177.24,118.56,0.985245,0.050532,0.000000,1.8860,1.0364,171.2
61,0.00,0.43,0.0000,-520.1750,179.55,179.55,118.56,0.997659,0.057466,0.000000,1.8841,1.0358,173.8
62,0.00,0.41,0.0000,-533.5594,167.70,157.82,118.56,1.000582,0.059066,0.000000,1.8822,1.0349,176.6
63,0.00,0.41,0.0000,-528.3118,114.94,114.94,114.94,0.994978,0.064795,0.000000,1.8803,1.0332,179.6
