step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,-1947618.62,-29132990.00,0.0000,-592.5306,898.75,459.85,459.85,1.003826,0.094867,0.000000,1.9981,1.0685,2.8
2,-1897295.88,-29121792.00,0.0000,-629.0999,379.77,379.77,379.77,0.998058,0.064641,0.000000,1.9962,1.0696,5.6
3,-2004159.25,-29648460.00,0.0000,-691.6144,706.98,513.11,379.77,0.986109,0.054608,0.000000,1.9943,1.0709,8.4
4,-1913868.25,-28825288.00,0.0000,-671.8644,721.80,486.08,379.77,0.997603,0.033717,0.000000,1.9924,1.0719,11.2
5,-1950512.75,-29093880.00,0.0000,-718.8962,1007.70,406.65,379.77,1.011101,0.064591,0.000000,1.9905,1.0740,13.9
6,-1910821.50,-29003972.00,0.0000,-672.8206,973.36,478.16,379.77,1.018773,0.062609,0.000000,1.9886,1.0767,16.7
7,-1882261.00,-28816420.00,0.0000,-689.0416,921.81,396.32,379.77,1.008047,0.042541,0.000000,1.9867,1.0804,19.5
8,-1859210.25,-28190266.00,0.0000,-755.2936,779.68,406.92,379.77,1.017230,0.058169,0.000000,1.9848,1.0839,21.9
9,-1922232.88,-28919208.00,0.0000,-712.0352,1078.27,453.95,379.77,1.000335,0.063903,0.031250,1.9829,1.0873,24.7
10,-1885966.50,-28512308.00,0.0000,-661.1445,649.91,471.72,379.77,0.990721,0.036938,0.000000,1.9810,1.0889,27.5
11,-1931354.75,-29255728.00,0.0000,-667.8096,941.25,476.52,379.77,1.001721,0.042370,0.000000,1.9791,1.0884,30.3
12,-1885053.75,-28740242.00,0.0000,-667.0505,918.84,377.90,377.90,1.005202,0.053893,0.000000,1.9772,1.0864,33.1
13,-1874896.00,-28856624.00,0.0000,-705.7773,931.44,320.73,320.73,1.008192,0.047273,0.000000,1.9753,1.0853,35.9
14,-1870536.12,-28556750.00,0.0000,-700.4119,1385.40,464.86,320.73,1.006777,0.056641,0.000000,1.9734,1.0848,38.6
15,-1917381.50,-28879222.00,0.0000,-727.5754,802.93,448.39,320.73,0.993469,0.045909,0.000000,1.9715,1.0836,41.4
16,-1865411.88,-28658528.00,0.0000,-672.8610,1122.26,431.42,320.73,0.997493,0.042228,0.000000,1.9696,1.0816,44.1
