step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.45,0.0000,-592.5306,421.40,421.40,421.40,1.002929,0.093051,0.000000,1.9981,1.0683,3.0
2,0.00,0.54,0.0000,-629.2569,290.74,290.74,290.74,1.005862,0.068324,0.000000,1.9962,1.0672,5.9
3,0.00,0.46,0.0000,-684.9828,431.25,381.53,290.74,0.975583,0.053967,0.000000,1.9943,1.0653,8.7
4,0.00,0.50,0.0000,-660.1401,465.07,393.42,290.74,1.003388,0.045677,0.000000,1.9924,1.0636,11.6
5,0.00,0.46,0.0000,-701.8240,288.54,288.54,288.54,0.995916,0.061920,0.000000,1.9905,1.0609,14.1
6,0.00,0.49,0.0000,-642.8121,357.78,357.78,288.54,0.996261,0.065785,0.000000,1.9886,1.0581,16.9
7,0.00,0.55,0.0000,-671.7094,367.71,367.71,288.54,1.004683,0.064963,0.000000,1.9867,1.0580,19.7
8,0.00,0.52,0.0000,-711.5376,459.27,328.04,288.54,1.010455,0.066932,0.000000,1.9848,1.0587,22.6
9,0.00,0.51,0.0000,-674.2424,280.67,280.67,280.67,1.011522,0.061963,0.000000,1.9829,1.0599,25.4
10,0.00,0.53,0.0000,-630.9312,469.45,349.74,280.67,1.002827,0.044796,0.000000,1.9810,1.0604,28.1
11,0.00,0.51,0.0000,-640.3940,383.22,383.22,280.67,0.995556,0.050531,0.000000,1.9791,1.0587,31.0
12,0.00,0.54,0.0000,-628.1614,427.35,362.25,280.67,1.009340,0.051221,0.000000,1.9772,1.0558,33.8
13,0.00,0.57,0.0000,-671.2989,250.52,250.52,250.52,1.008145,0.052943,0.000000,1.9753,1.0528,36.7
14,0.00,0.55,0.0000,-644.9833,377.94,377.94,250.52,0.998493,0.053845,0.000000,1.9734,1.0503,39.3
15,0.00,0.52,0.0000,-679.3159,378.49,344.05,250.52,0.985630,0.055110,0.000000,1.9715,1.0469,42.1
16,0.00,0.57,0.0000,-625.6068,343.07,342.99,250.52,0.999197,0.050040,0.000000,1.9696,1.0432,45.0
17,0.00,0.56,0.0000,-606.0345,394.07,376.78,250.52,0.998655,0.051896,0.000000,1.9677,1.0404,47.8
18,0.00,0.58,0.0000,-593.3484,341.77,341.77,250.52,0.994121,0.056954,0.000000,1.9658,1.0378,50.6
19,0.00,0.57,0.0000,-594.2404,359.18,359.18,250.52,0.986475,0.046128,0.000000,1.9639,1.0347,53.4
20,0.00,0.57,0.0000,-625.0424,443.52,443.52,250.52,1.011813,0.058009,0.000000,1.9620,1.0334,56.2
21,0.00,0.62,0.0000,-573.6969,432.46,350.09,250.52,1.001075,0.045811,0.000000,1.9601,1.0335,59.0
22,0.00,0.60,0.0000,-586.7972,469.56,400.08,250.52,1.005011,0.046526,0.000000,1.9582,1.0333,61.8
23,0.00,0.57,0.0000,-597.9725,360.47,360.47,250.52,0.991912,0.057312,0.000000,1.9563,1.0326,64.3
24,0.00,0.58,0.0000,-668.3492,404.98,396.10,250.52,0.994197,0.051552,0.000000,1.9544,1.0311,67.2
25,0.00,0.61,0.0000,-653.5300,328.73,328.73,250.52,0.999429,0.059898,0.000000,1.9525,1.0282,70.1
26,0.00,0.62,0.0000,-656.2949,294.82,294.82,250.52,1.000347,0.048807,0.000000,1.9506,1.0250,72.9
27,0.00,0.61,0.0000,-575.2004,301.33,301.33,250.52,0.998272,0.052191,0.000000,1.9487,1.0208,75.8
