step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-0.01,0.0000,-592.5306,547.74,445.61,445.61,1.001067,0.073142,0.000000,1.9981,1.0638,2.9
2,0.00,0.01,0.0000,-627.3051,518.23,310.66,310.66,1.007097,0.048722,0.000000,1.9962,1.0648,5.8
3,0.00,-0.01,0.0000,-682.7341,413.43,350.66,310.66,1.008359,0.045451,0.000000,1.9943,1.0639,8.5
4,0.00,0.02,0.0000,-659.6262,512.43,398.91,310.66,0.999770,0.049199,0.000000,1.9924,1.0615,11.2
5,0.00,0.02,0.0000,-702.6562,273.02,273.02,273.02,0.996617,0.054462,0.000000,1.9905,1.0605,13.9
6,0.00,0.03,0.0000,-650.7321,506.23,350.33,273.02,1.001652,0.056422,0.000000,1.9886,1.0594,16.0
7,0.00,0.04,0.0000,-673.7504,791.70,402.67,273.02,0.992065,0.041324,0.000000,1.9867,1.0582,18.8
8,0.00,0.08,0.0000,-724.1973,372.17,365.74,273.02,0.997631,0.047928,0.000000,1.9848,1.0582,21.6
9,0.00,0.03,0.0000,-683.8854,314.63,314.63,273.02,1.006770,0.053853,0.000000,1.9829,1.0588,24.3
10,0.00,0.04,0.0000,-639.8084,431.36,431.36,273.02,1.000773,0.035546,0.000000,1.9810,1.0594,27.1
11,0.00,0.04,0.0000,-639.9610,352.96,352.96,273.02,0.997643,0.048913,0.000000,1.9791,1.0605,29.9
12,0.00,0.03,0.0000,-642.4644,295.12,295.12,273.02,1.008813,0.035871,0.000000,1.9772,1.0610,32.6
13,0.00,0.04,0.0000,-685.5259,420.35,290.84,273.02,1.000698,0.042883,0.000000,1.9753,1.0606,35.4
14,0.00,0.04,0.0000,-673.0919,531.31,373.30,273.02,0.994161,0.033510,0.000000,1.9734,1.0593,38.2
15,0.00,0.04,0.0000,-694.7542,318.26,313.43,273.02,0.988796,0.043192,0.000000,1.9715,1.0566,40.8
