step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,0.00,2.3902,-592.5306,639.44,459.85,459.85,1.003998,0.091950,0.000000,1.9981,1.0661,3.0
2,0.00,0.00,2.4915,-628.7906,639.32,378.90,378.90,1.005342,0.068160,0.000000,1.9962,1.0646,5.7
3,0.00,0.00,2.3535,-683.2446,886.70,507.46,378.90,0.970636,0.062022,0.000000,1.9943,1.0648,8.5
4,0.00,0.00,2.4202,-659.5171,825.49,481.82,378.90,0.996610,0.049786,0.000000,1.9924,1.0649,11.1
5,0.00,0.00,2.3889,-703.8400,900.08,399.09,378.90,1.003861,0.058163,0.000000,1.9905,1.0638,13.8
6,0.00,0.00,2.4455,-646.1942,646.92,464.76,378.90,1.002955,0.056194,0.000000,1.9886,1.0627,16.6
7,0.00,0.00,2.5018,-674.4213,776.26,390.60,378.90,1.004658,0.065001,0.000000,1.9867,1.0628,19.1
8,0.00,0.00,2.4748,-716.7411,949.16,394.52,378.90,1.007917,0.065252,0.000000,1.9848,1.0633,21.9
9,0.00,0.00,2.4551,-677.2731,925.24,427.99,378.90,1.009628,0.055048,0.000000,1.9829,1.0645,24.7
10,0.00,0.00,2.4746,-633.6572,984.63,447.63,378.90,0.998397,0.044744,0.000000,1.9810,1.0648,27.6
11,0.00,0.00,2.4584,-640.8326,570.25,461.03,378.90,0.995706,0.047542,0.000000,1.9791,1.0632,30.4
12,0.00,0.00,2.5103,-630.8716,592.54,344.06,344.06,1.008372,0.055037,0.000000,1.9772,1.0614,33.2
13,0.00,0.00,2.5521,-670.8888,608.62,313.60,313.60,1.010585,0.056008,0.000000,1.9753,1.0596,36.1
14,0.00,0.00,2.4979,-649.5516,970.19,425.45,313.60,0.999991,0.058419,0.000000,1.9734,1.0581,38.8
15,0.00,0.00,2.4715,-683.6459,1006.45,418.16,313.60,0.986590,0.058570,0.000000,1.9715,1.0558,41.7
16,0.00,0.00,2.5391,-628.6626,463.24,405.84,313.60,0.998906,0.049198,0.000000,1.9696,1.0530,44.2
17,0.00,0.00,2.5212,-614.6324,649.27,414.25,313.60,0.998951,0.050421,0.000000,1.9677,1.0511,46.9
18,0.00,0.00,2.5378,-597.7217,972.57,413.89,313.60,0.990997,0.057924,0.000000,1.9658,1.0491,49.7
19,0.00,0.00,2.5276,-600.8979,1039.35,458.91,313.60,0.988978,0.045179,0.000000,1.9639,1.0465,52.5
20,0.00,0.00,2.5286,-628.8648,699.23,497.73,313.60,1.003353,0.041414,0.000000,1.9620,1.0452,55.4
21,0.00,0.00,2.5943,-573.6065,587.56,464.53,313.60,0.999119,0.038432,0.000000,1.9601,1.0450,58.2
22,0.00,0.00,2.6262,-596.9332,634.53,463.77,313.60,1.012069,0.054155,0.000000,1.9582,1.0446,60.9
23,0.00,0.00,2.5369,-601.0623,553.36,396.14,313.60,0.983494,0.052392,0.000000,1.9563,1.0439,63.8
24,0.00,0.00,2.5388,-670.1196,666.72,463.65,313.60,0.995892,0.047247,0.000000,1.9544,1.0422,66.6
25,0.00,0.00,2.6114,-649.4719,597.56,410.63,313.60,1.001400,0.059790,0.000000,1.9525,1.0393,69.0
26,0.00,0.00,2.6478,-653.0416,372.90,372.90,313.60,0.994464,0.056507,0.000000,1.9506,1.0364,71.8
27,0.00,0.00,2.6125,-578.2844,768.87,390.73,313.60,1.001847,0.043771,0.000000,1.9487,1.0323,74.6
28,0.00,0.00,2.7598,-600.9148,507.16,395.51,313.60,1.024254,0.042603,0.000000,1.9468,1.0292,77.4
29,0.00,0.00,2.5821,-556.9245,736.35,419.51,313.60,0.998056,0.049660,0.000000,1.9449,1.0271,80.2
30,0.00,0.00,2.6575,-574.8053,551.79,254.31,254.31,0.997061,0.059014,0.000000,1.9430,1.0250,83.0
31,0.00,0.00,2.6171,-573.4478,361.39,361.39,254.31,0.989523,0.058275,0.031250,1.9411,1.0229,85.8
32,0.00,0.00,2.6496,-634.5020,683.27,399.48,254.31,0.994753,0.053219,0.000000,1.9392,1.0215,88.5
33,0.00,0.00,2.7393,-603.2780,506.59,390.49,254.31,0.999846,0.040559,0.000000,1.9373,1.0213,91.4
34,0.00,0.00,2.7408,-576.8168,573.75,403.83,254.31,1.005379,0.048594,0.000000,1.9354,1.0195,93.9
35,0.00,0.00,2.6774,-599.8508,536.31,325.01,254.31,1.003077,0.046465,0.000000,1.9335,1.0168,96.6
36,0.00,0.00,2.7150,-563.8853,703.67,395.56,254.31,1.006095,0.047985,0.000000,1.9316,1.0154,99.4
37,0.00,0.00,2.8112,-537.6793,617.80,335.37,254.31,1.014030,0.045121,0.000000,1.9297,1.0148,102.1
38,0.00,0.00,2.7653,-561.0482,731.65,355.43,254.31,0.999286,0.055865,0.000000,1.9278,1.0139,104.9
39,0.00,0.00,2.7852,-554.1422,633.95,302.63,254.31,1.010783,0.063913,0.000000,1.9259,1.0119,107.7
40,0.00,0.00,2.7362,-571.7852,537.05,370.64,254.31,0.999893,0.060739,0.000000,1.9240,1.0092,110.4
41,0.00,0.00,2.7952,-517.9673,602.53,240.71,240.71,1.000492,0.064498,0.000000,1.9221,1.0066,113.3
42,0.00,0.00,2.7932,-514.2892,518.63,377.29,240.71,1.002556,0.059394,0.000000,1.9202,1.0038,116.0
43,0.00,0.00,2.8536,-532.9725,425.12,339.79,240.71,1.010438,0.047025,0.000000,1.9183,1.0014,118.5
44,0.00,0.00,2.8009,-580.6135,522.37,384.22,240.71,1.003466,0.046610,0.000000,1.9164,0.9990,121.2
45,0.00,0.00,2.7973,-529.5970,551.26,320.98,240.71,0.998018,0.053904,0.000000,1.9145,0.9960,124.1
46,0.00,0.00,2.8569,-479.0096,655.05,319.16,240.71,1.004706,0.054113,0.000000,1.9126,0.9928,126.9
47,0.00,0.00,2.7488,-553.6502,706.22,328.69,240.71,0.991396,0.073541,0.000000,1.9107,0.9887,129.6
48,0.00,0.00,2.8477,-576.8733,512.50,216.18,216.18,0.989172,0.050072,0.000000,1.9088,0.9852,132.5
49,0.00,0.00,2.8542,-510.0421,537.51,318.84,216.18,0.998771,0.058779,0.000000,1.9069,0.9838,135.3
50,0.00,0.00,2.8039,-532.6554,508.78,314.71,216.18,0.999470,0.046953,0.000000,1.9050,0.9812,138.1
51,0.00,0.00,2.8567,-553.0135,426.19,355.08,216.18,0.988565,0.047205,0.000000,1.9031,0.9776,140.8
52,0.00,0.00,2.9269,-542.6365,502.34,247.34,216.18,0.999772,0.048821,0.000000,1.9012,0.9745,143.4
53,0.00,0.00,2.8872,-494.5514,689.22,261.19,216.18,0.997317,0.050456,0.000000,1.8993,0.9715,146.0
