step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-27335.72,0.0000,-592.5306,413.86,413.86,413.86,1.005228,0.091426,0.000000,1.9981,1.0664,2.5
2,0.00,-24452.15,0.0000,-629.3947,274.75,274.75,274.75,1.010721,0.065645,0.000000,1.9962,1.0639,4.8
3,0.00,-28102.38,0.0000,-683.2720,464.49,464.49,274.75,0.972321,0.062242,0.000000,1.9943,1.0643,6.9
4,0.00,-26150.08,0.0000,-659.6587,410.95,393.58,274.75,0.997577,0.048160,0.000000,1.9924,1.0644,8.5
5,0.00,-27320.34,0.0000,-703.6104,299.54,299.54,274.75,1.002944,0.058819,0.000000,1.9905,1.0635,10.7
6,0.00,-25691.61,0.0000,-646.1522,391.23,391.23,274.75,1.002072,0.057811,0.000000,1.9886,1.0623,12.9
7,0.00,-23933.89,0.0000,-674.5706,366.50,366.50,274.75,1.004562,0.064007,0.000000,1.9867,1.0625,15.1
8,0.00,-24874.84,0.0000,-716.0734,489.52,293.76,274.75,1.008942,0.064306,0.000000,1.9848,1.0633,17.3
9,0.00,-25358.96,0.0000,-677.8856,603.37,323.51,274.75,1.009085,0.055719,0.000000,1.9829,1.0646,19.5
10,0.00,-24720.91,0.0000,-634.5283,442.72,386.70,274.75,0.999781,0.044154,0.000000,1.9810,1.0649,21.7
11,0.00,-25478.80,0.0000,-641.5912,332.70,332.70,274.75,0.995841,0.048061,0.000000,1.9791,1.0631,23.9
12,0.00,-24367.89,0.0000,-630.9431,419.88,407.33,274.75,1.009411,0.053333,0.000000,1.9772,1.0605,26.1
13,0.00,-23216.88,0.0000,-671.4332,271.86,271.86,271.86,1.009939,0.055186,0.000000,1.9753,1.0581,28.3
14,0.00,-24021.51,0.0000,-648.9252,376.88,376.88,271.86,0.998537,0.056836,0.000000,1.9734,1.0561,29.9
15,0.00,-25097.17,0.0000,-682.6094,431.66,388.04,271.86,0.985781,0.058267,0.000000,1.9715,1.0532,32.0
16,0.00,-23363.36,0.0000,-627.3859,302.29,302.29,271.86,0.998730,0.049258,0.000000,1.9696,1.0497,34.3
17,0.00,-23597.30,0.0000,-612.1484,410.96,405.77,271.86,0.999340,0.050581,0.000000,1.9677,1.0472,36.5
18,0.00,-23116.90,0.0000,-595.3829,304.90,304.90,271.86,0.991303,0.058458,0.000000,1.9658,1.0447,38.7
19,0.00,-23400.99,0.0000,-598.5881,380.88,371.69,271.86,0.989178,0.045333,0.000000,1.9639,1.0417,40.8
20,0.00,-23175.35,0.0000,-626.4705,529.18,442.54,271.86,1.005789,0.044171,0.000000,1.9620,1.0404,43.1
21,0.00,-21451.25,0.0000,-572.2378,395.40,379.78,271.86,0.999088,0.038273,0.000000,1.9601,1.0401,45.3
22,0.00,-21161.98,0.0000,-593.0882,452.13,387.30,271.86,1.011257,0.053327,0.000000,1.9582,1.0398,47.6
23,0.00,-22946.88,0.0000,-598.5505,421.52,421.52,271.86,0.985508,0.053984,0.000000,1.9563,1.0390,49.7
24,0.00,-22934.94,0.0000,-667.1074,489.29,397.11,271.86,0.996232,0.049499,0.000000,1.9544,1.0373,51.4
25,0.00,-21393.32,0.0000,-648.4083,240.62,240.62,240.62,1.001022,0.059311,0.000000,1.9525,1.0345,53.3
26,0.00,-20709.73,0.0000,-651.7970,353.24,345.59,240.62,0.995820,0.054955,0.000000,1.9506,1.0315,55.4
27,0.00,-21322.73,0.0000,-575.6713,329.36,329.36,240.62,1.001472,0.046026,0.000000,1.9487,1.0272,57.6
28,0.00,-18072.73,0.0000,-599.1030,415.66,305.73,240.62,1.023966,0.042835,0.000000,1.9468,1.0239,59.8
29,0.00,-21791.31,0.0000,-554.9459,357.14,357.14,240.62,0.999372,0.049766,0.000000,1.9449,1.0214,62.0
30,0.00,-20327.15,0.0000,-572.9206,254.75,254.75,240.62,0.994253,0.059390,0.000000,1.9430,1.0188,64.2
31,0.00,-21364.76,0.0000,-571.3030,351.41,284.77,240.62,0.989175,0.062959,0.031250,1.9411,1.0162,66.3
32,0.00,-20369.12,0.0000,-632.4854,360.82,360.82,240.62,0.996965,0.050290,0.000000,1.9392,1.0146,68.5
33,0.00,-18594.01,0.0000,-600.0420,332.19,332.19,240.62,1.001209,0.043552,0.000000,1.9373,1.0142,70.8
34,0.00,-18285.27,0.0000,-572.5177,320.24,320.24,240.62,1.003276,0.051890,0.000000,1.9354,1.0121,72.7
35,0.00,-19945.47,0.0000,-593.7380,331.12,310.35,240.62,1.001884,0.047396,0.000000,1.9335,1.0091,74.4
36,0.00,-18770.88,0.0000,-563.7069,466.65,369.78,240.62,1.006495,0.052179,0.000000,1.9316,1.0073,76.4
37,0.00,-16882.26,0.0000,-538.2739,255.30,255.30,240.62,1.016246,0.047403,0.000000,1.9297,1.0065,78.6
38,0.00,-18128.84,0.0000,-559.8820,306.21,289.31,240.62,0.999715,0.057131,0.000000,1.9278,1.0053,80.7
39,0.00,-18070.73,0.0000,-553.3550,242.96,242.96,240.62,1.010038,0.066621,0.000000,1.9259,1.0031,82.9
40,0.00,-18361.32,0.0000,-567.6841,366.37,326.03,240.62,1.000521,0.063223,0.000000,1.9240,1.0000,85.1
41,0.00,-17562.89,0.0000,-516.3027,266.19,266.19,240.62,1.000734,0.064339,0.000000,1.9221,0.9970,87.2
42,0.00,-17202.96,0.0000,-514.8382,437.07,320.12,240.62,1.004454,0.059907,0.000000,1.9202,0.9939,89.5
43,0.00,-16416.75,0.0000,-530.0237,269.29,269.29,240.62,1.005164,0.046988,0.000000,1.9183,0.9909,91.6
44,0.00,-17256.70,0.0000,-580.4777,335.13,302.14,240.62,1.001901,0.053150,0.000000,1.9164,0.9880,93.7
45,0.00,-17229.88,0.0000,-527.8563,333.43,330.14,240.62,0.998075,0.054734,0.000000,1.9145,0.9847,95.2
46,0.00,-16128.59,0.0000,-479.5064,349.04,280.14,240.62,1.003853,0.054351,0.000000,1.9126,0.9813,97.4
