step,reward_l1_mean,reward_l2_mean,reward_tt_mean,reward_prior_mean,mae_display,mae_oracle_best,best_mae_global,ratio_mean,ratio_std,clip_frac,temperature,entropy,wall_time
1,0.00,-33904.12,0.0000,-592.5306,607.18,463.91,463.91,1.004282,0.096255,0.000000,1.9981,1.0700,2.3
2,0.00,-31329.19,0.0000,-631.1774,372.86,372.86,372.86,1.005985,0.063813,0.000000,1.9962,1.0680,4.6
3,0.00,-35434.43,0.0000,-685.8950,584.32,517.37,372.86,0.971436,0.059593,0.000000,1.9943,1.0683,6.8
4,0.00,-33356.96,0.0000,-661.6835,291.44,291.44,291.44,0.995959,0.047339,0.000000,1.9924,1.0686,9.0
5,0.00,-34177.14,0.0000,-706.1162,411.68,411.68,291.44,1.005363,0.060191,0.000000,1.9905,1.0680,11.5
6,0.00,-32413.60,0.0000,-648.8472,360.46,360.46,291.44,1.005667,0.057790,0.000000,1.9886,1.0676,14.1
7,0.00,-30410.80,0.0000,-676.1940,394.55,394.55,291.44,1.006208,0.064138,0.000000,1.9867,1.0679,16.4
8,0.00,-31717.55,0.0000,-719.7032,419.21,419.21,291.44,1.008351,0.064385,0.000000,1.9848,1.0689,19.0
9,0.00,-32047.99,0.0000,-679.9236,472.63,472.63,291.44,1.004385,0.057041,0.000000,1.9829,1.0704,21.5
10,0.00,-31342.91,0.0000,-636.6935,350.89,350.89,291.44,0.996464,0.045417,0.000000,1.9810,1.0707,24.1
11,0.00,-32327.96,0.0000,-643.1199,266.56,266.56,266.56,0.996485,0.048466,0.000000,1.9791,1.0689,26.6
12,0.00,-30609.79,0.0000,-633.6516,359.99,359.99,266.56,1.007749,0.055380,0.000000,1.9772,1.0670,29.2
13,0.00,-29110.79,0.0000,-672.8771,277.75,277.75,266.56,1.010468,0.056461,0.000000,1.9753,1.0649,31.8
14,0.00,-30593.41,0.0000,-652.9180,365.92,365.92,266.56,0.999487,0.054369,0.000000,1.9734,1.0634,34.3
15,0.00,-31822.90,0.0000,-686.6909,317.59,317.59,266.56,0.989492,0.060431,0.000000,1.9715,1.0616,36.7
16,0.00,-29997.85,0.0000,-630.9042,295.18,295.18,266.56,0.995947,0.046868,0.000000,1.9696,1.0593,39.2
