model,init,reward,run_dir,status,steps_done,best_mae_global,last_mae_oracle,last_reward_l1,last_reward_l2,last_reward_tt,wall_time_s,fwi_type,init_velocity_path
marmousi,far_uniform,tt_only,runs/phase7/marmousi/far_uniform/tt_only,complete,571,660.1,768.25,0.0,0.0,4.1715,2341.4,l2,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,l1l2,runs/phase7/marmousi/far_uniform/l1l2,complete,617,655.02,732.58,-9270602.0,-131251128.0,0.0,2523.9,l2,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,wasserstein_w1,runs/phase7/marmousi/far_uniform/wasserstein_w1,complete,505,693.69,864.95,0.0,-49700.42,0.0,2044.7,wasserstein,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,wasserstein_w2,runs/phase7/marmousi/far_uniform/wasserstein_w2,complete,534,683.53,862.79,0.0,-64555.16,0.0,2146.2,wasserstein_w2,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,ncc_zero,runs/phase7/marmousi/far_uniform/ncc_zero,complete,644,685.92,827.22,0.0,0.26,0.0,2611.1,ncc_zero,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,ncc_maxlag,runs/phase7/marmousi/far_uniform/ncc_maxlag,complete,505,693.48,773.17,0.0,0.64,0.0,2075.0,ncc_maxlag,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,envelope_ncc,runs/phase7/marmousi/far_uniform/envelope_ncc,complete,659,691.15,794.36,0.0,0.78,0.0,2670.5,envelope_ncc,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,far_uniform,awi,runs/phase7/marmousi/far_uniform/awi,complete,534,693.93,901.96,0.0,-70.77,0.0,2140.9,awi,outputs/phase7_sensitivity/initial_models/marmousi/far_uniform.npy
marmousi,medium_gradient,tt_only,runs/phase7/marmousi/medium_gradient/tt_only,complete,1000,346.39,346.39,0.0,0.0,5.0321,4120.1,l2,outputs/phase7_sensitivity/initial_models/marmousi/medium_gradient.npy
marmousi,medium_gradient,l1l2,runs/phase7/marmousi/medium_gradient/l1l2,complete,572,436.49,509.85,-9398450.0,-137161296.0,0.0,2333.9,l2,outputs/phase7_sensitivity/initial_models/marmousi/medium_gradient.npy
